pl_name,hostname,discoverymethod,disc_year,disc_facility,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag
HD 216520 b,HD 216520,Radial Velocity,2020,Multiple Observatories,Multiple Telescopes,35.45,0.198,3.18,10.26,1.75,0.09,,K2,5103,0.76,0.82,-0.452,2.39462,22h47m30.45s,341.8768719,+83d41m51.11s,83.6975307,19.552,7.53
HD 216520 c,HD 216520,Radial Velocity,2020,Multiple Observatories,Multiple Telescopes,154.43,0.528,3.03,9.44,1.86,0.12,,K2,5103,0.76,0.82,-0.452,2.39462,22h47m30.45s,341.8768719,+83d41m51.11s,83.6975307,19.552,7.53
HD 216536 b,HD 216536,Radial Velocity,2015,McDonald Observatory,9.2 m Hobby-Eberly Telescope,148.60001,0.61,13.8,333.7215,0.698,0.38,,K0,4639,9.83,0.81,1.8,,22h53m03.98s,343.2665641,+44d28m39.83s,44.4777303,376.233,9.229
HD 216770 b,HD 216770,Radial Velocity,2003,La Silla Observatory,1.2 m Leonhard Euler Telescope,118.45,0.46,14.1,181.1631,0.355,0.37,,G9 V CN+1,5399,0.93,0.74,-0.1,1.48999,22h55m53.97s,343.9748751,-26d39m34.30s,-26.6595286,36.6625,8.11
HD 21693 b,HD 21693,Radial Velocity,2019,La Silla Observatory,3.6 m ESO Telescope,22.6786,0.1455,2.8,8.23,2.06,0.12,,G8 V,5430,0.91,0.8,-0.208,1.70311,03h27m12.97s,51.8040469,-58d19m23.78s,-58.3232726,33.255,7.95
HD 21693 c,HD 21693,Radial Velocity,2019,La Silla Observatory,3.6 m ESO Telescope,53.7357,0.2586,4.34,17.37,1.17,0.07,,G8 V,5430,0.91,0.8,-0.208,1.70311,03h27m12.97s,51.8040469,-58d19m23.78s,-58.3232726,33.255,7.95
HD 217107 b,HD 217107,Radial Velocity,1998,Lick Observatory,3.0 m C. Donald Shane Telescope,7.12682,0.08,13.6,413.179,0.903,0.13,,G8 IV,5622,1.11,1,0.098,0.80093,22h58m15.53s,344.5647243,-02d23m43.62s,-2.3954489,20.0619,6.155
HD 217107 c,HD 217107,Radial Velocity,2005,Lick Observatory,3.0 m C. Donald Shane Telescope,4270,5.32,13.2,826.32,1.97,0.517,,G8 IV,5575,1.2,0.98,0.098,0.80093,22h58m15.53s,344.5647243,-02d23m43.62s,-2.3954489,20.0619,6.155
HD 21749 c,GJ 143,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,7.78993,0.0695,0.892,3.7,31.93,,88.9,K4.5,4640,0.7,0.73,-0.686,3.03,03h27m00.05s,51.7501882,-63d30m00.60s,-63.500166,16.32,8.08
HD 217786 b,HD 217786,Radial Velocity,2011,La Silla Observatory,3.6 m ESO Telescope,1301.36009,2.446,12.3,4402.55909,13,0.311,69.767,F8 V,5966,1.27,1.14,0.276,0.77578,23h03m08.11s,345.7838088,-00d25m49.29s,-0.4303594,55.4847,7.78
HD 217786 c,HD 217786,Radial Velocity,2022,Multiple Observatories,Multiple Telescopes,2.52221,0.038,2.61,7.31005,2.26,0.399,,F8 V,5966,1.34,1.14,0.304,0.77578,23h03m08.11s,345.7838088,-00d25m49.29s,-0.4303594,55.4847,7.78
HD 217958 b,HD 217958,Radial Velocity,2022,Multiple Observatories,Multiple Telescopes,2560.19774,3.758,14.2,166.54209,0.32,0.156,91.357,G,5930.64,1.33,1.08,0.292,0.65279,23h04m32.78s,346.136577,-25d41m30.39s,-25.6917758,61.7957,8.05
HD 218566 b,HD 218566,Radial Velocity,2010,W. M. Keck Observatory,10 m Keck I Telescope,225.7,0.69,9.32,63.566,0.431,0.3,,K3V,4730,0.85,0.76,-0.452,2.02846,23h09m11.38s,347.297417,-02d15m40.19s,-2.2611645,28.8274,8.6
HD 219077 b,HD 219077,Radial Velocity,2012,La Silla Observatory,1.2 m Leonhard Euler Telescope,5478.68861,5.935,12.5,3057.50928,8.6,0.768,90.178,G8 V+,5362,1.91,0.92,0.425,0.1703,23h14m07.67s,348.5319387,-62d42m06.59s,-62.7018297,29.1864,6.12
HD 219134 b,HD 219134,Radial Velocity,2015,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,3.092926,0.03876,1.602,4.74,6.34,0,85.05,K3 V,4699,0.78,0.81,-0.577,2.438,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.53127,5.56911
HD 219134 c,HD 219134,Radial Velocity,2015,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,6.76458,0.0653,1.511,4.36,6.95,0.062,87.28,K3 V,4699,0.78,0.81,-0.577,2.438,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.53127,5.56911
HD 219134 d,HD 219134,Radial Velocity,2015,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,46.859,0.237,1.61,16.17,8.52157E+14,0.138,,K3 V,4699,0.78,0.81,-0.577,2.438,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.53127,5.56911
HD 219134 f,HD 219134,Radial Velocity,2015,Multiple Observatories,Multiple Telescopes,22.717,0.1463,1.31,7.3,7.53575E+15,0.148,,K3 V,4699,0.78,0.81,-0.577,2.438,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.53127,5.56911
HD 219134 g,HD 219134,Radial Velocity,2015,Multiple Observatories,Multiple Telescopes,94.2,0.3753,3.28,10.80622,1.68,0,,K3 V,4913,0.77,0.79,-0.509,2.43759,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.53127,5.56911
HD 219134 h,HD 219134,Radial Velocity,2015,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,2247,3.11,12.7,108.0622,0.29,0.06,,K3 V,4913,0.77,0.79,-0.509,2.43759,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.53127,5.56911
HD 219139 b,HD 219139,Radial Velocity,2021,Okayama Astrophysical Observatory,1.88 m Telescope,275.5,0.94,14,247.90616,0.496,0.11,,G5 III,4831,11.22,1.46,1.795,,23h13m26.50s,348.3604055,+11d03m53.94s,11.0649832,104.935,5.84863
HD 219415 b,HD 219415,Radial Velocity,2012,McDonald Observatory,9.2 m Hobby-Eberly Telescope,2093.3,3.2,13.8,317.83,0.665,0.4,,K0 III,4820,2.9,1,0.62,,23h14m53.85s,348.7243579,+56d43m49.08s,56.7303001,165.184,8.909
HD 219666 b,HD 219666,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,6.04345,0.104,4.24,16.6,0.87,0,88.938,G5 V,5527,1.03,0.92,-0.028,1.17568,23h18m14.22s,349.5592665,-56d54m14.35s,-56.9039857,94.1719,9.809
HD 219828 b,HD 219828,Radial Velocity,2007,La Silla Observatory,3.6 m ESO Telescope,3.83483,0.049,4.59,19.0697,1.08,0.091,,G0 IV,5891,1.56,1.04,0.42,0.32597,23h18m46.73s,349.6947029,+18d38m44.71s,18.6457524,73.114,8.04
HD 219828 c,HD 219828,Radial Velocity,2016,Multiple Facilities,Multiple Telescopes,4789.87297,5.657,12.2,5102.41725,15.4,0.811,122.816,G0 IV,5891,1.61,1.04,0.42,0.32597,23h18m46.73s,349.6947029,+18d38m44.71s,18.6457524,73.114,8.04
HD 220074 b,HD 220074,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,672.09998,1.6,12.2,5288.6912,16,0.14,,M2 III,3787,54.92,2.2,2.894,,23h20m14.40s,350.0599827,+61d58m12.38s,61.9701062,324.54,6.40607
HD 220197 b,HD 220197,Radial Velocity,2018,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,1728,2.729,9.32,63.566,0.431,0.187,,G5,5683,0.98,0.91,-0.003,1.3056,23h21m58.73s,350.4946927,+16d37m56.39s,16.6323305,64.411,8.92
HD 220689 b,HD 220689,Radial Velocity,2012,La Silla Observatory,1.2 m Leonhard Euler Telescope,2266.4,3.396,13.7,381.39409,0.815,0.054,71,G3 V,5921,1.07,1.02,0.093,0.9754,23h25m52.97s,351.4707282,-20d37m00.45s,-20.6167923,46.8778,7.74
HD 220773 b,HD 220773,Radial Velocity,2011,McDonald Observatory,9.2 m Hobby-Eberly Telescope,3724.7,4.94,13.6,460.8,1.01,0.51,,F9,5940,1.68,1.16,0.498,0.33411,23h26m27.47s,351.6144715,+08d38m34.39s,8.6428871,50.5103,7.10831
HD 220842 b,HD 220842,Radial Velocity,2016,Haute-Provence Observatory,1.93 m Telescope,218.47,0.74,13.1,1010.6994,2.47,0.404,,F8,5960,1.42,1.13,0.357,0.51898,23h26m36.82s,351.6534162,+56d53m13.71s,56.8871415,64.6498,7.98
HD 221287 b,HD 221287,Radial Velocity,2007,La Silla Observatory,3.6 m ESO Telescope,456.1,1.25,13.1,982.05,2.4,0.08,,F7 V,6304,1.14,1.25,0.22,1.21286,23h31m20.69s,352.836223,-58d12m35.11s,-58.209754,55.9231,7.82
HD 221416 b,HD 221416,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,14.2767,0.1228,9.17,60.5,0.431,0.115,85.75,K0 IV/V,5080,2.94,1.21,0.712,0.06702,23h32m07.96s,353.0331863,-21d48m04.32s,-21.8012007,95.5483,8.15
HD 221420 b,HD 221420,Radial Velocity,2019,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,10066,10.1,12,6992.22495,22.2,0.12,14,G1 V,5847,1.95,1.34,0.603,0.20818,23h33m19.66s,353.3319001,-77d23m07.18s,-77.3853286,31.1415,5.82
HD 221585 b,HD 221585,Radial Velocity,2016,Haute-Provence Observatory,1.93 m Telescope,1173,2.306,13.5,511.7063,1.14,0.123,,G8 IV,5620,1.85,1.19,0.422,0.216,23h32m55.05s,353.2293802,+63d09m20.21s,63.1556146,55.8535,7.457
HD 222076 b,HD 222076,Radial Velocity,2016,Multiple Observatories,Multiple Telescopes,871,1.83,13.5,495.8148,1.11,0.08,,K0 III,4806,4.1,1.07,0.929,,23h38m07.68s,354.531982,-70d54m11.69s,-70.9032461,91.1538,7.47
HD 222155 b,HD 222155,Radial Velocity,2011,Haute-Provence Observatory,1.93 m Telescope,3999,5.14,13.4,581.62598,1.33,0.16,68,G2 V,5701,1.85,1.21,0.509,0.24399,23h38m00.61s,354.5025617,+48d59m45.67s,48.9960191,50.6078,7.11716
HD 222237 b,HD 222237,Radial Velocity,2024,Multiple Observatories,Multiple Telescopes,14892,10.8,12.8,1649.52943,4.32,0.56,49.9,K3 V,4751,0.71,0.76,-0.666,3.00129,23h39m37.89s,354.9078642,-72d43m31.18s,-72.7253271,11.4469,7.09
HD 222582 b,HD 222582,Radial Velocity,1999,W. M. Keck Observatory,10 m Keck I Telescope,572.38,1.34,12.6,2660.2371,7.31,0.73,,G5 V,5790,1.13,1.12,0.115,1.00725,23h41m51.38s,355.4640788,-05d59m10.46s,-5.9862379,42.1586,7.68
HD 224538 b,HD 224538,Radial Velocity,2016,Multiple Observatories,Multiple Telescopes,1202.05199,2.375,12.7,2075.73733,5.57,0.476,91.125,F8/G0 IV/V,6097,1.54,1.23,0.47,0.53144,23h58m51.94s,359.7164302,-61d35m12.70s,-61.5868613,79.0608,8.06
HD 224693 b,HD 224693,Radial Velocity,2006,W. M. Keck Observatory,10 m Keck I Telescope,26.6904,0.191,14,222.481,0.446,0.104,,G2 V,5894,1.93,1.31,0.61,0.23333,23h59m54.00s,359.9749837,-22d25m40.80s,-22.4279999,93.5015,8.23
HD 22496 b,HD 22496,Radial Velocity,2021,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,5.09071,0.051,2.22,5.57,2.8,,,K5/M0V,4385,0.67,0.68,-1.174,2.38032,03h35m01.57s,53.7565398,-48d25m04.14s,-48.4178173,13.5956,8.57
HD 22532 b,HD 22532,Radial Velocity,2022,La Silla Observatory,1.2 m Leonhard Euler Telescope,872.6,1.9,13.4,673.79622,1.54,0.03,,G8 III/IV,5038,5.69,1.57,1.274,,03h35m15.56s,53.8148478,-49d25m02.16s,-49.4172669,161.183,7.85
HD 22781 b,HD 22781,Radial Velocity,2011,Haute-Provence Observatory,1.93 m Telescope,528.07,1.167,12.3,4338.2,12.8,0.8191,,K1,5027,0.74,0.75,-0.476,2.83035,03h40m49.57s,55.2065581,+31d49m33.19s,31.8258855,32.6034,8.78
HD 22946 d,HD 22946,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,47.42489,0.2958,2.607,26.57,10.8,,,F7/F8V,6169,1.12,1.1,0.209,1.1,03h39m16.69s,54.819538,-42d45m46.90s,-42.7630276,62.7792,8.270001
HD 23079 b,HD 23079,Radial Velocity,2001,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,730.59998,1.6,13.2,829.5363,1.98,0.1,,F9.5 V,5974,1.07,1.12,0.133,1.22361,03h39m42.77s,54.9281897,-52d54m58.44s,-52.9162344,33.4591,7.12
HD 23127 b,HD 23127,Radial Velocity,2006,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,1211.17,2.37,13.5,485.32641,1.08,0.406,,G2 V,5843,1.49,1.21,0.452,0.33294,03h39m23.79s,54.8491271,-60d04m38.02s,-60.077229,93.8555,8.58
HD 231701 b,HD 231701,Radial Velocity,2007,W. M. Keck Observatory,10 m Keck I Telescope,141.63,0.567,13.7,359.1479,0.768,0.13,,F8 V,6101,1.53,1.21,0.47,0.52688,19h32m04.23s,293.017622,+16d28m27.68s,16.4743566,108.877,8.97
HD 233604 b,HD 233604,Radial Velocity,2013,McDonald Observatory,9.2 m Hobby-Eberly Telescope,192,0.747,12.7,2089.644,5.61,0.05,,K5,4791,10.9,1.5,1.75,,09h09m48.84s,137.4535054,+53d34m05.53s,53.5682016,847.058,10.291
HD 233832 b,HD 233832,Radial Velocity,2018,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,2058,2.827,13.5,565.7374,1.26,0.359,,G0,4981,0.68,0.71,-0.523,2.87189,11h26m04.72s,171.5196515,+50d22m34.72s,50.3763099,58.742,10.15
HD 23472 b,HD 23472,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,17.667087,0.1162,2,8.32,6.15,0.072,88.93,K4 V,4684,0.71,0.67,-0.625,2.70687,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,9.73
HD 23472 c,HD 23472,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,29.79749,0.1646,1.87,3.41,3.1,0.063,89.095,K4 V,4684,0.71,0.67,-0.625,2.70687,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,9.73
HD 23472 d,HD 23472,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.97664,0.04298,0.75,0.55,7.5,0.07,87.95,K4 V,4684,0.71,0.67,-0.625,2.70687,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,9.73
HD 23472 e,HD 23472,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,7.90754,0.068,0.818,0.72,7.5,0.07,88.63,K4 V,4684,0.71,0.67,-0.625,2.70687,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,9.73
HD 23472 f,HD 23472,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,12.1621839,0.0906,1.137,0.77,3,0.07,88.81,K4 V,4684,0.71,0.67,-0.625,2.70687,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,9.73
HD 235088 b,HD 235088,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,7.434151,0.071,2.075,4.2,2.58,0,88.75,K2 V,5087,0.8,0.85,-0.412,2.3406,20h02m27.71s,300.6154535,+53d22m38.79s,53.3774418,41.1706,9.19
HD 23596 b,HD 23596,Radial Velocity,2003,Haute-Provence Observatory,1.93 m Telescope,1535.11912,2.694,12.4,3786.60764,10.9,0.282,38.898,F8,6040,1.53,1.1,0.458,0.39478,03h48m00.45s,57.0018601,+40d31m50.63s,40.5307308,52.0018,7.26122
HD 238090 b,HD 238090,Radial Velocity,2020,Multiple Observatories,Multiple Telescopes,13.671,0.0932,2.52,6.89,2.37,0.3,,M0.0 V,3933,0.57,0.58,-1.154,4.05064,12h12m21.27s,183.0886375,+54d29m10.15s,54.486153,15.2354,9.71
HD 238914 b,HD 238914,Radial Velocity,2018,Multiple Observatories,Multiple Telescopes,4100,5.7,12.8,1906.98,5,0.56,,K7,4769,12.73,1.47,1.85,,18h38m20.21s,279.5842102,+59d15m13.97s,59.2538819,519.452,8.770001
HD 240210 b,HD 240210,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,501.75,1.16,12.8,1655.82,4.34,0.15,,K3 III,4297,25.46,0.82,1.55,,23h10m29.26s,347.6219227,+57d01m46.13s,57.0294818,372.405,8.270001
HD 240237 b,HD 240237,Radial Velocity,2011,McDonald Observatory,9.2 m Hobby-Eberly Telescope,745.70001,1.92,12.2,5050.3187,15.3,0.4,,K2 III,3926,71.23,8.76,2.49,,23h15m42.22s,348.9259334,+58d02m35.60s,58.0432233,933.377,8.19
HD 24040 b,HD 24040,Radial Velocity,2006,W. M. Keck Observatory,10 m Keck I Telescope,3668,4.92,13,1226.8238,3.07,0.04,,G0 V,5802,1.3,1.11,0.276,0.55399,03h50m23.09s,57.5962104,+17d28m31.03s,17.4752873,46.6224,7.515
HD 24040 c,HD 24040,Radial Velocity,2021,Multiple Observatories,Multiple Telescopes,515.4,1.3,9.35,63.88351,0.429,0.11,,G0 V,5776.49,1.39,1.1,0.276,0.55399,03h50m23.09s,57.5962104,+17d28m31.03s,17.4752873,46.6224,7.515
HD 24064 b,HD 24064,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,535.59998,1.29,12.3,4096.8287,12.1,0.35,,K0,4052,40,1.61,2.546,,03h56m36.24s,59.1510071,+74d04m48.28s,74.0800789,300.247,6.74616
HD 24085 b,HD 24085,Radial Velocity,2019,Las Campanas Observatory,6.5 m Magellan II Clay Telescope,2.0455,0.034,3.46,11.8,1.57,0.22,,G0 V,6034,1.41,1.22,0.377,0.5762,03h45m01.52s,56.2563447,-70d01m28.27s,-70.0245193,54.9004,7.57
HD 25015 b,HD 25015,Radial Velocity,2019,La Silla Observatory,1.2 m Leonhard Euler Telescope,6134.427,6.248,12.5,2884.92845,8.12,0.341,32.046,K2 V,5160,0.83,0.86,-0.384,2.24688,03h57m44.05s,59.4335463,-20d16m02.40s,-20.2673347,37.433,8.87
HD 25171 b,HD 25171,Radial Velocity,2010,La Silla Observatory,3.6 m ESO Telescope,1802.29,2.971,13.9,290.81445,0.595,0.042,,F8 V,6125,1.23,1.08,0.276,0.94486,03h55m49.79s,58.9574779,-65d11m10.77s,-65.1863239,55.6146,7.77
HD 25463 b,HD 25463,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,7.0491423,0.076,2.545,8.7,2.87,0,,F,6353,1.42,1.25,0.473,0.6098,04h02m59.60s,60.7483361,+09d12m27.96s,9.2077676,45.6181,6.91134
HD 25463 c,HD 25463,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.04405,0.0443,1.364,4.3,9.09,0,,F,6353,1.42,1.25,0.473,0.6098,04h02m59.60s,60.7483361,+09d12m27.96s,9.2077676,45.6181,6.91134
HD 25723 b,HD 25723,Radial Velocity,2020,Lick Observatory,Coude Auxiliary Telescope,457.01,1.49,13.3,794.57102,1.86,0.04,,K1 III,4766,13.76,2.12,1.944,,04h04m22.73s,61.0947182,-12d47m32.01s,-12.7922241,114.816,5.60075
HD 25912 b,HD 25912,Radial Velocity,2022,Multiple Observatories,Multiple Telescopes,41.83156,0.242,6.9,38.13941,0.638,0.05,,G,5920.58,1,1.08,0.041,1.54152,04h03m37.80s,60.9074988,-51d55m53.42s,-51.9315058,49.1661,8.2
HD 25912 c,HD 25912,Radial Velocity,2022,Multiple Observatories,Multiple Telescopes,26308.65619,17.848,12.2,5252.75008,15.9,0.051,88.333,G,5920.58,1,1.08,0.041,1.54152,04h03m37.80s,60.9074988,-51d55m53.42s,-51.9315058,49.1661,8.2
HD 260655 b,HD 260655,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,2.76953,0.02933,1.24,2.14,6.2,0.039,87.35,M0 V,3803,0.44,0.44,-1.44,7.3,06h37m09.97s,99.2915429,+17d33m58.57s,17.5662696,10.0055,9.63
HD 260655 c,HD 260655,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,5.70588,0.04749,1.533,3.09,4.7,0.038,87.79,M0 V,3803,0.44,0.44,-1.44,7.3,06h37m09.97s,99.2915429,+17d33m58.57s,17.5662696,10.0055,9.63
HD 26161 b,HD 26161,Radial Velocity,2021,Multiple Observatories,Multiple Telescopes,10942.29013,10.087,11.9,9045.39646,29.5,0.922,59.558,F,6057.62,1.46,1.12,0.393,0.52975,04h09m38.93s,62.4122255,+31d39m08.76s,31.6524346,40.9128,6.89333
HD 2638 b,HD 2638,Radial Velocity,2005,La Silla Observatory,3.6 m ESO Telescope,3.4442,0.04,14.3,133.4886,0.251,0,,K1 V,5186,0.94,0.77,-0.33,1.83521,00h29m59.76s,7.4990038,-05d45m53.86s,-5.76496,54.9621,9.44
HD 2685 b,HD 2685,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.12688,0.0568,16.141,371.8611,0.486,0.091,89.252,F,6801,1.56,1.43,0.668,0.51462,00h29m18.94s,7.3289156,-76d18m14.52s,-76.304032,196.852,9.595
HD 27442 b,HD 27442,Radial Velocity,2000,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,428.1,1.271,13.5,495.8,1.11,0.06,,K1/2III,4846,3.18,1.23,0.851,,04h16m28.93s,64.1205476,-59d18m10.36s,-59.3028771,18.2704,4.44
HD 27631 b,HD 27631,Radial Velocity,2012,La Silla Observatory,1.2 m Leonhard Euler Telescope,2198.14,3.242,13.5,495.81231,1.11,0.141,74,G3 IV/V,5737,0.92,0.94,-0.056,1.1271,04h19m45.41s,64.9392168,-41d57m38.38s,-41.9606604,50.2862,8.26
HD 27894 b,HD 27894,Radial Velocity,2005,La Silla Observatory,3.6 m ESO Telescope,18.01939,0.125,14.1,196.73578,0.386,0.047,,K2 V,4875,0.89,0.81,-0.449,1.84634,04h20m47.42s,65.1975693,-59d24m34.84s,-59.4096776,43.8214,9.36
HD 27894 c,HD 27894,Radial Velocity,2017,La Silla Observatory,3.6 m ESO Telescope,36.07,0.198,8.24,51.48846,0.506,0.015,,K2 V,4894,0.89,0.8,-0.409,1.84634,04h20m47.42s,65.1975693,-59d24m34.84s,-59.4096776,43.8214,9.36
HD 27894 d,HD 27894,Radial Velocity,2017,La Silla Observatory,3.6 m ESO Telescope,5019.54244,5.362,12.7,2063.65985,5.54,0.343,101.524,K2 V,4894,0.89,0.81,-0.409,1.84634,04h20m47.42s,65.1975693,-59d24m34.84s,-59.4096776,43.8214,9.36
HD 27969 b,HD 27969,Radial Velocity,2021,Haute-Provence Observatory,1.93 m Telescope,654.5,1.552,12.9,1525.57635,3.91,0.182,,G0 V,5966,1.27,1.16,0.528,0.26456,04h26m49.64s,66.7068364,+42d54m31.39s,42.90872,67.9328,7.66
HD 28109 b,HD 28109,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,22.89104,0.1357,2.199,18.496,9.56,0.3307,87.725,F8/G0 V,6120,1.45,1.26,0.456,0.62114,04h20m57.19s,65.2383065,-68d06m09.68s,-68.1026875,139.611,9.42
HD 28109 c,HD 28109,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,56.00819,0.308,4.23,7.943,0.577,0.1203,89.543,F8/G0 V,6120,1.45,1.26,0.456,0.62114,04h20m57.19s,65.2383065,-68d06m09.68s,-68.1026875,139.611,9.42
HD 28109 d,HD 28109,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,84.25999,0.411,3.25,5.681,0.909,0.0864,89.682,F8/G0 V,6120,1.45,1.26,0.456,0.62114,04h20m57.19s,65.2383065,-68d06m09.68s,-68.1026875,139.611,9.42
HD 28185 b,HD 28185,Radial Velocity,2001,La Silla Observatory,1.2 m Leonhard Euler Telescope,385.52775,1.035,12.8,1855.16441,4.86,0.055,,G5,5662,1.03,0.99,0.016,1.1168,04h26m26.41s,66.6100461,-10d33m03.87s,-10.5510754,39.3809,7.8
HD 28185 c,HD 28185,Radial Velocity,2022,Multiple Observatories,Multiple Telescopes,17417.92079,13.176,12.1,6241.83209,19.4,0.12,57.65,G5,5662,1.03,0.99,0.016,1.1168,04h26m26.41s,66.6100461,-10d33m03.87s,-10.5510754,39.3809,7.8
HD 28192 b,HD 28192,Radial Velocity,2022,Multiple Observatories,Multiple Telescopes,14.23283,0.118,12.2,99.79812,0.302,0.104,,G,5919.87,1.07,1.08,0.103,1.23964,04h26m48.78s,66.7032517,-01d43m28.14s,-1.7244842,49.8063,8.06
HD 28254 b,HD 28254,Radial Velocity,2010,La Silla Observatory,3.6 m ESO Telescope,1333,2.45,13,1207.74795,3.02,0.95,162,G5 V,5664,1.48,1.1,0.34,0.35764,04h24m50.60s,66.2108141,-50d37m22.11s,-50.6228081,55.2884,7.69
HD 284149 AB b,HD 284149 A,Imaging,2017,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,8952.775513,431.16,12,8352.53054,26.6,,,F,6035,1.36,1.13,0.342,0.84185,04h06m38.81s,61.6616887,+20d18m10.92s,20.3030344,117.807,9.57
HD 285507 b,HD 285507,Radial Velocity,2013,Fred Lawrence Whipple Observatory,1.5 m Tillinghast Reflector Telescope,6.0881,0.06,13.8,311.4734,0.651,0.09,,K4.5 V,4503,0.69,0.82,-0.719,1.89557,04h07m01.36s,61.755663,+15d20m05.80s,15.3349441,45.0293,10.49
HD 285968 b,HD 285968,Radial Velocity,2008,La Silla Observatory,3.6 m ESO Telescope,8.7836,0.066,2.83,8.4,2.04,0,,M2 V,3703.49,0.48,0.5,-1.658,5.92298,04h42m56.49s,70.7353853,+18d57m12.09s,18.953358,9.47045,9.95
HD 28678 b,HD 28678,Radial Velocity,2011,W. M. Keck Observatory,10 m Keck I Telescope,380.2,1.18,13.5,490.09386,1.09,0.149,,G8 IV,4972,6.48,1.53,1.36,,04h31m25.46s,67.8560643,+04d34m30.90s,4.5752495,189.908,8.38
HD 29021 b,HD 29021,Radial Velocity,2017,Haute-Provence Observatory,1.93 m Telescope,1362.3,2.28,12.9,1420.69298,3.64,0.459,33.7,G5,5560,0.85,0.85,-0.181,1.992,04h37m52.35s,69.4681379,+60d40m34.67s,60.6762985,30.9939,7.76
HD 290327 b,HD 290327,Radial Velocity,2009,La Silla Observatory,3.6 m ESO Telescope,2443,3.43,13.3,772.3269,1.8,0.08,,G8 V,5505,0.95,0.84,-0.14,1.65313,05h23m21.60s,80.8399887,-02d16m40.94s,-2.2780391,56.433,8.99
HD 29399 b,HD 29399,Radial Velocity,2022,La Silla Observatory,1.2 m Leonhard Euler Telescope,892.7,1.913,13.5,498.9906,1.11,0.05,,K1 III,4845,4.5,1.17,1.002,,04h33m33.68s,68.3903471,-62d49m25.53s,-62.8237576,44.1518,5.79
