pl_name,hostname,discoverymethod,disc_year,disc_facility,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag
TOI-2421 b,TOI-2421,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.3474032,0.0543,10.368,105.83686,0.52,0,86.49,G,5607,1.75,1.13,0.436,0.297,02h12m36.96s,33.1540208,-35d23m27.31s,-35.3909182,327.927,11.419
TOI-2427 b,TOI-2427,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,1.3060011,0.0202,1.8,3.89,3.67,,,K,4072,0.65,0.64,-0.942,2.88335,03h29m10.02s,52.2917315,-31d21m46.32s,-31.3628665,28.5147,10.295
TOI-244 b,TOI-244,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,7.397225,0.0559,1.52,2.68,4.2,,88.32,M2.5 V,3433,0.43,0.43,-1.643,8.34724,00h42m16.74s,10.5697537,-36d43m04.71s,-36.7179743,22.0337,12.861
TOI-2443 b,TOI-2443,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,15.669494,6.261859443,2.773,8.11,2.09,,89.38,K,4357,0.73,0.66,-0.817,2.37122,02h40m43.17s,40.1798608,+01d11m58.83s,1.1996757,23.9258,9.51
TOI-2445 b,TOI-2445,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,0.3711281,0.0064,1.25,2.1,5.91,,,M,3333,0.27,0.25,-2.084,17.14039,02h53m15.88s,43.3161555,+00d03m08.41s,0.0523366,48.582,15.692
TOI-2447 b,TOI-2447,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,69.33684,0.347,9.606,124.90656,0.774,0.17,,G,5730,1.01,1.03,0.049,1.31947,04h43m59.42s,70.9975864,-31d54m23.89s,-31.9066369,148.987,10.507
TOI-2459 b,TOI-2459,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,19.104718,7.146505863,2.953,9.03,1.93,,89.59,K,4195,0.68,0.66,-0.896,3.02425,05h28m34.40s,82.1433321,-39d22m22.96s,-39.3730456,36.6113,10.772
TOI-2497 b,TOI-2497,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,10.655669,0.1166,11.142,1531.93292,6.1,0.195,88.16,F,7360,2.36,1.86,1.167,0.2,06h00m15.02s,90.0625878,+11d53m02.61s,11.8840577,285.289,9.547
TOI-2498 b,TOI-2498,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.738252,0.0491,6.06,34.62,0.86,0.089,87.12,G,5905,1.26,1.12,0.271,0.79,06h21m39.89s,95.4162204,+11d15m05.93s,11.2516477,275.265,11.196
TOI-251 b,TOI-251,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.93777,0.05741,2.74,317.83,1.90981E+11,0,87.52,G,5875,0.88,1.04,-0.08,1.67941,23h32m14.90s,353.0620655,-37d15m21.11s,-37.2558629,99.523,9.887
